alpha,n_nonzero_coef,n_zero_coef,MAE,RMSE,MAPE,R2
0.0016070528182616384,27,0,2179.982203582517,2869.6588787662085,8.048107454213978,0.7979112907670457
0.001762914118095948,27,0,2179.981998226261,2869.658679603799,8.048107218998982,0.7979113188180962
0.0019338917504552321,27,0,2179.9817729533656,2869.6584611323756,8.048106960971493,0.7979113495887243
0.00212145178491063,27,0,2179.9815258321946,2869.658221480634,8.048106677918982,0.7979113833424938
0.0023272024789604074,27,0,2179.981254743786,2869.6579585960903,8.048106367414418,0.7979114203684858
0.0025529080682395165,27,0,2179.9809573636467,2869.6576702275115,8.04810602679529,0.7979114609837749
0.002800503894183631,27,0,2179.9806311418615,2869.6573539057676,8.04810565314098,0.7979115055361241
0.003072112998861759,27,0,2179.9802732811886,2869.6570069227346,8.048105243247464,0.7979115544069585
0.003370064329271928,27,0,2179.9798807131183,2869.656626308264,8.048104793600126,0.7979116080146067
0.0036969127071950283,27,0,2179.9794500715216,2869.656208804841,8.048104300343391,0.7979116668178715
0.004055460735840828,27,0,2179.9789776638045,2869.655750839898,8.048103759247747,0.7979117313199289
0.004448782831127585,27,0,2179.9784594392454,2869.6552484954186,8.04810316567351,0.7979118020726086
0.004880251583654433,27,0,2179.977890954267,2869.6546974746598,8.048102514531,0.797911879681082
0.0053535666774107244,27,0,2179.977267334319,2869.654093065658,8.048101800236907,0.797911964809001
0.005872786613189483,27,0,2179.9765832320954,2869.653430101282,8.048101016666461,0.7979120581841244
0.00644236350872137,27,0,2179.9758327816708,2869.652702915446,8.048100157100805,0.7979121606044856
0.0070671812739274914,27,0,2179.9750095482104,2869.651905295179,8.048099214169454,0.7979122729451418
0.007752597488629464,27,0,2179.9741064727946,2869.6510304280996,8.048098179787177,0.797912396165573
0.008504489341802677,27,0,2179.973115811892,2869.6500708449507,8.048097045084507,0.7979125313177743
0.009329304026284686,27,0,2179.9720290709465,2869.6490183566425,8.04809580033177,0.7979126795551229
0.010234114021054527,27,0,2179.9708369315667,2869.6478639854067,8.048094434855717,0.7979128421420745
0.011226677735108135,27,0,2179.969529171604,2869.6465978893975,8.04809293694789,0.7979130204647815
0.012315506032928261,27,0,2179.968094577496,2869.64520928024,8.048091293764289,0.7979132160427057
0.013509935211980266,27,0,2179.966520848126,2869.643686332886,8.048089491215185,0.7979134305413136
0.014820207057988586,27,0,2179.964794489362,2869.6420160870175,8.04808751384442,0.7979136657859616
0.016257556664437952,27,0,2179.962900698314,2869.640184339289,8.048085344696778,0.7979139237770723
0.017834308769319095,27,0,2179.960823236434,2869.638175525624,8.048082965172618,0.7979142067067104
0.01956398343517065,27,0,2179.958544290253,2869.6359725926327,8.048080354868421,0.7979145169766908
0.021461411978584036,27,0,2179.956044318657,2869.633556857307,8.048077491401784,0.7979148572183377
0.02354286414322418,27,0,2179.953301885324,2869.6309078538948,8.048074350219544,0.7979152303140484
0.025826187606826773,27,0,2179.950293474908,2869.6280031669585,8.048070904387258,0.7979156394208028
0.02833096101839324,27,0,2179.946993291403,2869.624818249419,8.048067124358155,0.7979160879957863
0.03107866187782014,27,0,2179.9433730369697,2869.62132622447,8.048062977719917,0.7979165798242851
0.03409285069746811,27,0,2179.9394016692668,2869.617497669951,8.048058428916645,0.7979171190500487
0.03739937302478798,27,0,2179.935045135305,2869.6133003839946,8.048053438944098,0.797917710208291
0.04102658105827194,27,0,2179.9302751189175,2869.608699130427,8.048047999552562,0.79791835826154
0.04500557675700498,27,0,2179.9250473789625,2869.6036553625486,8.048042051339928,0.7979190686385318
0.049370478528390035,27,0,2179.9193126224714,2869.5981269238014,8.048035526235136,0.7979198472763571
0.054158713780794704,27,0,2179.91302167605,2869.592067723844,8.048028368287865,0.7979207006660695
0.05941133984965034,27,0,2179.9061263169283,2869.585427388487,8.048020537645261,0.7979216359019721
0.06517339604882427,27,0,2179.8985913135984,2869.578150882108,8.048012057076024,0.7979226607347768
0.07149428986597577,27,0,2179.890325521964,2869.5701781011853,8.048002754012044,0.7979237836288279
0.07842822061337681,27,0,2179.8812580659287,2869.5614434376043,8.047992548682947,0.7979250138235761
0.086034644166845,27,0,2179.871311195437,2869.551875310862,8.047981353581894,0.7979263613994296
0.09437878277775381,27,0,2179.860399619773,2869.5413956682514,8.047969072715015,0.7979278373481065
0.10353218432956626,27,0,2179.848429776244,2869.529919452799,8.047955600778494,0.7979294536475205
0.11357333583431052,27,0,2179.835299027881,2869.5173540389846,8.047940822255436,0.7979312233411961
0.12458833642950082,26,1,2179.813677893897,2869.4921811092468,8.04791853202434,0.7979347686348314
0.13667163564620075,26,1,2179.7929713614217,2869.47016806675,8.047897257663742,0.7979378688722134
0.14992684327860456,26,1,2179.7746710179463,2869.451959736401,8.04787731133591,0.7979404332497088
0.16446761779946645,26,1,2179.754657413188,2869.432037736141,8.04785568145052,0.7979432389539506
0.18041864093920718,26,1,2179.7327026366493,2869.4102538626603,8.047831953682467,0.7979463068518153
0.19791668678535573,26,1,2179.7086205385544,2869.3864447616006,8.047805925978807,0.79794965994281
0.21711179456945054,26,1,2179.682201065705,2869.3604261603705,8.047777372787879,0.7979533241710294
0.23816855519761582,26,1,2179.653223688921,2869.3320128931855,8.04774605328482,0.7979573256047344
0.2612675225563329,26,1,2179.6214238604625,2869.3009754176023,8.04771168819071,0.7979616965598062
0.286606761694825,26,1,2179.5867280588777,2869.2671194752697,8.047674716597243,0.7979664643808566
0.31440354715915003,26,1,2179.5487258097796,2869.2301957645977,8.047634391600173,0.7979716641615013
0.34489622604057596,26,1,2179.5070266294074,2869.1899335011553,8.047590148244627,0.7979773340174938
0.3783462617131929,26,1,2179.4613725885456,2869.14609631312,8.04754187603794,0.7979835072149097
0.41504047578504766,26,1,2179.4117833156265,2869.0983590770975,8.047490694924452,0.7979902295137722
0.4552935074866948,26,1,2179.358124000638,2869.04646333097,8.047437113209954,0.7979975372820263
0.499450511585514,26,1,2179.2993434091236,2868.990059319242,8.047378669018922,0.7980054797377685
0.5478901179593945,26,1,2179.235076731018,2868.9288354341047,8.047315284766414,0.7980141007208302
0.6010276782070382,26,1,2179.164648653613,2868.862467978052,8.04724597037569,0.7980234457663222
0.6593188271333549,26,1,2179.0891833522114,2868.7906026597802,8.047175814138571,0.7980335647090828
0.7232633896483533,26,1,2179.008649371036,2868.712890395632,8.047104705441853,0.7980445066414571
0.7934096665797492,26,1,2178.9216174535436,2868.6289969878558,8.04703131275715,0.7980563185497695
0.8703591361485166,26,1,2178.830670268261,2868.538647702604,8.046960193636242,0.7980690390374819
0.9547716114208056,26,1,2178.731590073101,2868.4414711543027,8.04688363232374,0.7980827203043646
1.0473708979594487,26,1,2178.6292900751023,2868.337240704376,8.046814402398306,0.7980973941589645
1.1489510001873087,26,1,2178.521232674427,2868.2257775343805,8.046751610956267,0.7981130856661508
1.2603829296797273,26,1,2178.4057590169673,2868.1069832976787,8.046690279569704,0.7981298085513716
1.3826221737646565,26,1,2178.3096832049087,2868.0273692672417,8.046659829297697,0.7981410155785834
1.5167168884709241,26,1,2178.1614583384953,2867.865794283218,8.046610487666037,0.7981637590459665
1.6638168860761273,26,1,2177.999395208585,2867.685992888753,8.046549952498829,0.7981890665760687
1.8251834943190424,26,1,2177.8496078489684,2867.5374534134526,8.046508551177709,0.7982099727100516
2.0022003718155843,26,1,2177.6902799080713,2867.3841575415645,8.046487527142043,0.7982315471458413
2.1963853724165467,26,1,2177.524691062968,2867.226617340745,8.046494517552462,0.7982537177149889
2.409403560239527,26,1,2177.3511466194786,2867.0667604497244,8.046528960332697,0.7982762130658843
2.643081486974108,26,1,2177.1788472320686,2866.906891940186,8.046623932936043,0.7982987087974003
2.899422853882875,26,1,2177.0023603897075,2866.750225485678,8.046802854492665,0.7983207527380954
3.180625692794119,26,1,2176.8222887768575,2866.6007938197354,8.0470920299197,0.7983417775767241
3.489101213406774,25,2,2176.6476996659735,2866.4862396216254,8.047563695557846,0.7983578944594365
3.827494478516315,25,2,2176.508056097973,2866.54602147002,8.04882726504798,0.7983494836997278
4.198707084443915,23,4,2176.4269585350125,2866.716297805302,8.050235482572615,0.7983255264142173
4.605922041145104,23,4,2176.316354825877,2866.871048729524,8.051304033578049,0.7983037522654653
5.05263106533568,23,4,2176.203509894147,2867.0477814704805,8.052504081569465,0.7982788837388846
5.5426645206631076,23,4,2176.086602693089,2867.2477413121064,8.053833094057781,0.7982507450177055
6.080224261649427,23,4,2175.9688762866754,2867.479854747858,8.055341926061473,0.7982180791217447
6.669919663030129,23,4,2175.8491269782908,2867.743691042574,8.057021354513076,0.7981809455785476
